,Restaurante,Nota,Tipo de comida,Distancia,Tempo,Preco do Frete
109,Padaria Renata,4.3,Variada,2.5,30-40 min,4.0
110,Toku Sushi,4.4,Japonesa,1.8,49-59 min,5.0
111,Premiatto,4.7,Brasileira,3.2,27-37 min,7.99
112,Sushi Anália Franco,4.6,Japonesa,2.0,45-55 min,0.0
113,K'doces & Cia,4.9,Doces & Bolos,0.4,24-34 min,4.49
114,Cepam Padaria Tatuapé,4.5,Padaria,2.8,40-50 min,0.0
115,Delícias da Mai,4.9,Doces & Bolos,2.6,19-29 min,5.99
116,Fabrica de Bolo Vo Alzira - Vila Matilde,4.5,Doces & Bolos,1.9,16-26 min,4.99
117,Sushi 10 1 Peça = R$1 - Tatuapé,4.4,Japonesa,2.6,45-55 min,6.99
118,Makis Place - Celso Garcia,4.4,Japonesa,3.5,34-44 min,9.49
119,Real Burger,4.7,Lanches,3.1,40-50 min,10.9
120,Sukoá Sushi Tatuapé,4.9,Japonesa,3.5,39-49 min,0.0
121,Casa do Norte Serginho e Toninho,4.6,Brasileira,1.7,41-51 min,5.99
122,Trad Requinte,4.9,Brasileira,0.2,60-70 min,2.0
123,Panelão do Norte,4.8,Brasileira,4.1,30-40 min,11.99
124,Cantagalo Burger,4.7,Lanches,3.7,45-55 min,0.0
125,Lanchonete Acácio,4.8,Lanches,4.0,22-32 min,11.99
126,Dona Maria Comida Caseira e Porções,4.8,Brasileira,0.8,16-26 min,5.49
127,Costelaria Radial,4.6,Marmita,3.6,25-35 min,10.49
128,Halal Comida Árabe,4.6,Árabe,3.9,47-57 min,0.0
129,My Ohmy Milkshakes,4.9,Sorvetes,1.7,26-36 min,4.99
130,Inspire Fit Tatuapé,4.5,Saudável,3.9,47-57 min,8.49
131,New Burguer - Tatuapé,4.7,Lanches,3.0,40-50 min,0.0
132,A King Burger,4.6,Lanches,3.6,38-48 min,4.0
133,Pães e Doces Alvorada do Dalila,4.8,Padaria,2.1,22-32 min,5.99
134,Lores Cakes,4.8,Doces & Bolos,3.1,39-49 min,6.99
135,Marmi Express Tatuapé,4.4,Brasileira,3.0,25-35 min,0.0
136,Rei do Caldo,4.7,Brasileira,4.1,31-41 min,11.49
137,Esfiha Chic - Praça Silvio Romero,4.6,Pizza,4.1,27-37 min,11.49
138,Pastelaria Orient,4.9,Pastel,2.2,16-26 min,6.99
139,Pastéis Yamaguchi - Pastel de Feira,4.9,Pastel,3.6,20-30 min,9.49
140,Ike Sushi House Penha,4.5,Japonesa,3.3,45-55 min,5.0
141,Sabbatino Ristorante & Rosticceria,4.5,Italiana,2.4,40-50 min,4.0
142,Applebee´s Tatuapé,4.4,Lanches,3.1,28-38 min,8.99
143,Bsk Prime Espetinhos,4.7,Carnes,4.1,31-41 min,11.49
144,2 Marias Saudável Orgânico - Tatuapé,4.8,Saudável,2.7,18-28 min,5.99
145,Tradicional Bolos e Tortas - Tatuapé,4.8,Doces & Bolos,2.5,38-48 min,5.99
146,Sashimi-espetinhos Bar,4.9,Carnes,0.4,20-30 min,6.49
147,Croasonho - Anália Franco,4.5,Lanches,2.7,39-49 min,6.99
148,Panelão do Norte II,4.8,Brasileira,2.9,39-49 min,8.99
149,Restaurante Tia Cida,4.4,Brasileira,5.2,40-50 min,9.99
